 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-21-04-684298-ae05936d49c6-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698531668.301983024] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698531668.361167594] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698531668.369676964] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698531668.672328108] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698531668.697656207] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698531668.705363542] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698531668.722526288] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698531668.729635596] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698531668.734098790] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698531668.742211142] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698531668.783023915] [robot]: Robot server started
trials-all-1  | [environment-3] [INFO] [1698531668.785168008] [environment]: Starting Environment server
trials-all-1  | [robot-6] [INFO] [1698531668.796991522] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698531668.814640288] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698531668.845077610] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698531669.003497490] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698531669.044622271] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698531669.083805967] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698531669.393846393] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531670.404468102] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531671.418190816] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531672.435046532] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531673.448726982] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531674.460441217] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698531675.472126322] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531676.486601415] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531677.502572442] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698531678.334709588] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698531678.354755434] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698531678.517531296] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531679.534784118] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531680.170695828] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698531680.201724128] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698531680.212370574] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531680.226550169] [coordinator]: Planing
