 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-23-22-747727-28902531713a-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698535406.440553165] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698535406.451016443] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698535406.481019241] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698535406.491316514] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698535406.512186069] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698535406.516866194] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698535406.574432724] [arm]: Starting Arm server
trials-all-1  | [coordinator-2] [INFO] [1698535406.589909135] [coordinator]: Starting Coordinator server
trials-all-1  | [environment-3] [INFO] [1698535406.589948137] [environment]: Starting Environment server
trials-all-1  | [arm-1] [INFO] [1698535406.605789558] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698535406.618111885] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698535406.629979201] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698535406.649395717] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698535406.661381036] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698535406.678660495] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698535406.781578231] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698535406.818724219] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698535406.842112841] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698535407.696427494] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535408.711324330] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535409.733248262] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535410.747751911] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535411.763978518] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535412.777415965] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698535413.791044329] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535414.806859664] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535415.833732197] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535416.850653386] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698535416.985830866] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698535417.013642581] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698535417.868219505] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535418.713377128] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698535418.753666158] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698535418.763371406] [coordinator]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698535418.777858777] [nurse]: Request response:Okay!
