 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-28-24-541385-6b40cc44147c-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698535708.528391166] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698535708.552555392] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698535708.591918760] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698535708.602148856] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698535708.612309951] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698535708.721678973] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698535708.755384288] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698535708.761641347] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698535708.796123669] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698535708.809173791] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698535708.853164202] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698535708.858216250] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698535708.879780451] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698535708.925433878] [nurse]: Nurse server started
trials-all-1  | [robot-6] [INFO] [1698535708.928019902] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698535708.945408065] [nurse]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698535709.011803685] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698535709.029049845] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698535709.915330086] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535710.930052476] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535711.940421775] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535712.952946044] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535713.963505245] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535714.977365425] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698535715.988905535] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535717.002727615] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535718.015389634] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698535718.690226612] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698535718.710655793] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698535719.029170613] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535720.048501591] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535720.646915834] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698535720.685998177] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698535720.690504216] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698535720.702828324] [coordinator]: Planing
