 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-30-05-345289-c2a8ceac0ff3-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698532208.794391615] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698532208.852409710] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698532208.864870945] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698532208.869745037] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698532208.897592562] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698532208.901917644] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698532209.007713639] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698532209.045148343] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698532209.057119568] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698532209.410883216] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698532209.434142653] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698532209.477525468] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698532209.523293328] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698532209.532030492] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698532209.578394363] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698532209.591538610] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698532209.716144952] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698532209.731448240] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698532209.903068465] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532210.912731371] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532211.925288256] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532212.939508098] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532213.953016850] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532214.965671512] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698532215.978074095] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532216.988979576] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532218.001132005] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698532218.921730699] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698532218.946343146] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698532219.014205376] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532220.034927810] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532220.940632103] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698532220.979530803] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698532220.990970009] [coordinator]: Sending response
