 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-48-04-334236-616f893efcdb-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698540487.737774741] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698540487.793767347] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698540487.806208482] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698540487.877389252] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698540487.922241737] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698540487.934918875] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698540487.994481519] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698540488.022278819] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698540488.093571589] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698540488.121303888] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698540488.128502965] [nurse]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698540488.185309578] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698540488.197866714] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698540488.228047039] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698540488.261243398] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698540488.289999708] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698540488.299442810] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698540488.353111389] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698540488.832584562] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540489.850441514] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540490.863262377] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540491.876457209] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540492.888620995] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540493.901044749] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698540494.913394467] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540495.925715150] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540496.936430782] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698540497.591455651] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698540497.610713853] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698540497.949899408] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540498.975341125] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540499.828983017] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698540500.026778076] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698540500.031284123] [coordinator]: Sending response
