 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-22-23-127734-58ba0cddc6de-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698542546.573277072] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698542546.622552962] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698542546.635867122] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698542546.812205993] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698542546.837194416] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698542546.842500081] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698542546.904577164] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698542546.951720189] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698542546.958561757] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698542547.014767211] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698542547.045662264] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698542547.050524958] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698542547.118204694] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698542547.142981133] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698542547.190026168] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698542547.198210653] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698542547.339690738] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698542547.371715720] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698542547.985936019] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542549.004796922] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542550.026265765] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542551.047200746] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542552.068953778] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542553.090549923] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698542554.109545332] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542555.126041999] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542556.140923867] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698542556.184486161] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698542556.207659721] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698542557.158877644] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542558.179498358] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542558.789012613] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698542558.826868268] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698542558.839518485] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698542558.851609736] [coordinator]: Planing
