 Container trials-controller-1  Creating
 Container trials-controller-1  Created
Attaching to trials-controller-1
trials-controller-1  | [ERROR] [1698534523.561340765] [executor_client]: Plan Failed
trials-controller-1  | [WARN] [1698534523.562314740] [executor_client]: Action: (approach_arm r a room3):6 was not executed
trials-controller-1  | [WARN] [1698534523.562589733] [executor_client]: Action: (approach_nurse r n room1):1 succeeded with message_status: Approach Nurse completed
trials-controller-1  | [WARN] [1698534523.562697731] [executor_client]: Action: (authenticate_nurse r n room1):2 succeeded with message_status: Authenticate Nurse completed
trials-controller-1  | [WARN] [1698534523.562790728] [executor_client]: Action: (deposit n r room1):4 succeeded with message_status: Deposit completed
trials-controller-1  | [ERROR] [1698534523.562928725] [executor_client]: Action: (nav_to r room1 room3):5 failed with message_status: Nav To failed
trials-controller-1  | [WARN] [1698534523.563010723] [executor_client]: Action: (nav_to r room2 room1):0 succeeded with message_status: Nav To completed
trials-controller-1  | [WARN] [1698534523.563087721] [executor_client]: Action: (open_drawer_for_nurse r n):3 succeeded with message_status: Open door for nurse completed
trials-controller-1  | [WARN] [1698534523.563164719] [executor_client]: Action: (pick_up_sample a r room3):7 was not executed
trials-controller-1  | Unsuccessful replan attempt to reach goal 
trials-controller-1 exited with code 0
