 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-15-02-138657-41190146127f-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698527706.694439084] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698527706.763911705] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698527706.768187681] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698527706.869676127] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698527706.890855012] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698527706.913110890] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698527706.929528801] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698527706.937088759] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698527706.941643735] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698527706.995096443] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698527707.039473194] [coordinator]: Coordinator server started
trials-all-1  | [environment-3] [INFO] [1698527707.041793181] [environment]: Starting Environment server
trials-all-1  | [coordinator-2] [INFO] [1698527707.046551154] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698527707.077275981] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698527707.090639906] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698527707.253036991] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698527707.255450977] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698527707.278856845] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698527708.091653250] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527709.107154333] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527710.123547231] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527711.142679931] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527712.161101456] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527713.180880792] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698527714.196972973] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527715.218693936] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527716.234539760] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527717.251229402] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698527717.348111688] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698527717.366972549] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698527718.269198856] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527718.609370292] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698527718.650345983] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698527718.665132871] [coordinator]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698527718.681200750] [nurse]: Request response:Okay!
