 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-09-48-174654-df94de9fc9f3-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698534591.682189595] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698534591.722373569] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698534591.730445362] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698534591.759472621] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698534591.797197657] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698534591.818330117] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698534591.900951006] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698534591.923922420] [environment]: Starting Environment server
trials-all-1  | [robot-6] [INFO] [1698534591.940584994] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698534591.947500817] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698534591.969699250] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698534592.013592129] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698534592.148264690] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698534592.185078750] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698534592.193827527] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698534592.849573784] [nurse]: coordinator service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698534592.978444493] [robot]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534593.218268373] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698534593.870772722] [nurse]: coordinator service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698534593.991706636] [robot]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534594.233617466] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698534594.674494221] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698534594.692741756] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698534594.774019683] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698534595.246653632] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534596.259398820] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534597.274167971] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534598.286063209] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698534599.296896489] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534600.314252617] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534601.333022724] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698534601.904378208] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698534601.923337726] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698534602.350222885] [coordinator]: planner sync service not available, waiting again...
