 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-38-17-897821-dccc777616e5-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698532701.721845556] [robot]: Starting Robot server
trials-all-1  | [coordinator-2] [INFO] [1698532701.734299315] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698532701.761160795] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698532701.786552304] [robot]: Robot server started
trials-all-1  | [coordinator-2] [INFO] [1698532701.788932258] [coordinator]: Coordinator server started
trials-all-1  | [robot-6] [INFO] [1698532701.793503169] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698532701.806018927] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698532701.821262632] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698532701.831348437] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698532701.860562872] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698532701.890616290] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698532701.895815189] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698532701.908211949] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698532701.936086410] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698532702.114704954] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698532702.140435456] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698532702.198801327] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698532702.216127992] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698532702.841688889] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532703.861945152] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532704.881859426] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532705.899610744] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532706.919875017] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532707.937999334] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698532708.958137616] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532709.972959004] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532710.989306365] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698532711.700006635] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698532711.715835329] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698532712.007300698] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532713.027518991] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532713.885868413] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698532713.924982658] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698532713.936814429] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698532713.954175094] [coordinator]: Planing
