 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-01-22-831578-92f4898ac57a-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698526886.253251901] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698526886.338115518] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698526886.351029460] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698526886.918618900] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698526886.961318707] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698526886.966874682] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698526886.975147645] [arm]: Starting Arm server
trials-all-1  | [coordinator-2] [INFO] [1698526886.994885556] [coordinator]: Starting Coordinator server
trials-all-1  | [environment-3] [INFO] [1698526886.997139546] [environment]: Starting Environment server
trials-all-1  | [arm-1] [INFO] [1698526887.004295513] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698526887.011680479] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698526887.032749380] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698526887.042613333] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698526887.059963251] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698526887.176444703] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698526887.283172201] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698526887.298552128] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698526888.067809495] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698526888.313842289] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526889.087643479] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698526889.323729275] [arm]: robot service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698526889.836123663] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698526890.107151261] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526891.132016811] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526892.155043167] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698526893.174896338] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526894.188904343] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526895.200169167] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526896.212783784] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698526896.414549481] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698526896.433916356] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698526897.225376203] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526898.245604373] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698526898.829012382] [coordinator]: Coordinator clients started
