 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-19-31-351589-a20c13e0220b-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698542374.854636594] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698542374.923833576] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698542374.936758199] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698542375.164710557] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698542375.195178669] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698542375.202086468] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698542375.323511931] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698542375.349394177] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698542375.354128039] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698542375.536598724] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698542375.557596112] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698542375.621300257] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698542375.657675197] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698542375.666519940] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698542375.712072613] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698542375.757686284] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698542375.771762874] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698542375.887331508] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698542375.967147183] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542376.981849658] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542377.993671253] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542379.006706847] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542380.019061496] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542381.033486120] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698542382.046685814] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542383.058697577] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542384.069439410] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698542384.872925250] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698542384.895020613] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698542385.081359244] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542386.102017861] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542387.122613515] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698542387.462206760] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698542387.514795250] [coordinator]: Receiving message of nurse1 in room3.
