 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-39-40-878442-a129a60a2b4b-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698529185.604174778] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698529185.616426126] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698529185.643440892] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698529185.662147422] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698529185.677667862] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698529185.698836462] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698529185.746971827] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698529185.754020027] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698529185.790547062] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698529185.865505187] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698529185.873492414] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698529185.927113934] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698529185.954819720] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698529185.963128955] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698529186.002981085] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698529186.005690162] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698529186.015759446] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698529186.092375608] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698529186.903541505] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529187.920964110] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529188.935172497] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529189.948810741] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529190.959153767] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529191.971758730] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698529192.983224535] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529193.997406290] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529195.008857843] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698529195.950240373] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698529195.967580844] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698529196.020365273] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529197.040413808] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529197.355176267] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698529197.392144261] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698529197.396952390] [coordinator]: Sending response
