 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-37-18-507263-5b29ef99895f-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698536242.842680500] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698536242.909019459] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698536242.916166670] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698536242.986244740] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698536243.026965941] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698536243.146223452] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698536243.178255396] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698536243.189394724] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698536243.368966011] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698536243.399300905] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698536243.414224344] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698536243.631138732] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698536243.665011729] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698536243.675189029] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698536243.702460832] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698536243.947156038] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698536244.261756280] [nurse]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698536244.701269185] [robot]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536244.969151050] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698536245.273807972] [nurse]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698536245.763639313] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698536245.782169856] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698536245.804985523] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698536245.989352921] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536247.009735708] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536248.021316151] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536249.033737531] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698536250.045939818] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536251.056088960] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536252.070571140] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536253.083226181] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698536253.318064898] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698536253.341545570] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698536254.097091171] [coordinator]: planner sync service not available, waiting again...
