 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-32-48-705801-64b1d0ff3c1d-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698528773.052364075] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698528773.107057846] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698528773.111552909] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698528773.136261258] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698528773.190601024] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698528773.205229230] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698528773.266979101] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698528773.296545518] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698528773.332998032] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698528773.344261191] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698528773.367563520] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698528773.443334588] [nurse]: Nurse clients started
trials-all-1  | [arm-1] [INFO] [1698528773.452167713] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698528773.475891048] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698528773.491698270] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698528773.496692341] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698528773.518736652] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698528773.552661130] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698528774.141434419] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528775.157372627] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528776.172529717] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528777.185684675] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528778.197597512] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528779.209985250] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528780.222644888] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698528781.235899430] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528782.247519846] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528783.264797233] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698528784.036009321] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698528784.052630537] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698528784.278374467] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528784.875395219] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698528784.921897823] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698528784.931868952] [coordinator]: Sending response
