 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-13-02-021527-f449453863fa-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698531185.835768273] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698531185.885539226] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698531185.891641343] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698531185.994940321] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698531186.025485904] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698531186.171686690] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698531186.210782436] [arm]: Arm server started
trials-all-1  | [coordinator-2] [INFO] [1698531186.227629757] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698531186.241506021] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698531186.278528727] [robot]: Starting Robot server
trials-all-1  | [coordinator-2] [INFO] [1698531186.287734902] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698531186.300044137] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698531186.335219807] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698531186.345698007] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698531186.388113816] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698531186.451306020] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698531186.463043244] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698531186.555941014] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698531187.334660829] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531188.354288148] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531189.371980342] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531190.386894398] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531191.402823385] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531192.417789268] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698531193.430699027] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531194.442446679] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531195.454294247] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698531195.860304679] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698531195.879961039] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698531196.466189731] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531197.485045256] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531198.086826164] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698531198.123645829] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698531198.134626027] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531198.145584225] [coordinator]: Planing
