 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-37-23-578111-e1c80603563a-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698529048.141940544] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698529048.194577663] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698529048.199618866] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698529048.239602475] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698529048.276978979] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698529048.287874418] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698529048.373615869] [environment]: Starting Environment server
trials-all-1  | [robot-6] [INFO] [1698529048.397825843] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698529048.431338192] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698529048.442934658] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698529048.450253953] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698529048.456687212] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698529048.482446249] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698529048.494533735] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698529048.524737951] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698529048.555702197] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698529048.601549042] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698529048.625659013] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698529049.275024107] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529050.291731831] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529051.321240910] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529052.333556149] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529053.344821194] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529054.355670072] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529055.368816888] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698529056.381467533] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529057.392751974] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529058.405101305] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698529058.642694515] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698529058.662968301] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698529059.420822616] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529060.010357380] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698529060.045987751] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698529060.056965173] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698529060.067214568] [coordinator]: Planing
