 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-43-57-351502-6410548de23c-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698536641.123478278] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698536641.155388684] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698536641.188071099] [robot]: Starting Robot server
trials-all-1  | [arm-1] [INFO] [1698536641.247271853] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698536641.267297107] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698536641.271849165] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698536641.295920471] [arm]: Arm server started
trials-all-1  | [coordinator-2] [INFO] [1698536641.298139500] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698536641.300406528] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698536641.371876438] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698536641.386684626] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698536641.405830870] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698536641.501045081] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698536641.528056424] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698536641.536787535] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698536641.613070506] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698536641.653296018] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698536641.672207258] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698536642.429974877] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536643.440916665] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536644.454728439] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536645.465331122] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536646.476840766] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536647.487829354] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698536648.498136883] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536649.509583376] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536650.520269810] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698536651.003368742] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698536651.025807016] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698536651.532917218] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536652.548420611] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536653.154556987] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698536653.188823403] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698536653.198407519] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698536653.212962696] [coordinator]: Planing
