 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-47-05-742740-783fe770ee6d-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698533229.287521594] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698533229.354419878] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698533229.359640823] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698533229.492610401] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698533229.536402933] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698533229.545581835] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698533229.657335640] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698533229.667916527] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698533229.698981195] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698533229.701547167] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698533229.709223085] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698533229.939358625] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698533229.965551345] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698533229.971286284] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698533230.012443844] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698533230.029853657] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698533230.055304385] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698533230.174411110] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698533230.571489860] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533231.585784995] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533232.597939140] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533233.610110272] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533234.623758374] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533235.638175454] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698533236.648327566] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533237.660389645] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533238.673292701] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533239.685530751] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698533239.924618163] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698533239.940729989] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698533240.696704799] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533241.565261381] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698533241.748262396] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698533241.759449274] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698533241.774009116] [coordinator]: Planing
