 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-52-48-931489-90b1993b550f-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [53]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [55]
trials-all-1  | [INFO] [environment-3]: process started with pid [57]
trials-all-1  | [INFO] [nurse-4]: process started with pid [59]
trials-all-1  | [INFO] [planner-5]: process started with pid [61]
trials-all-1  | [INFO] [robot-6]: process started with pid [63]
trials-all-1  | [arm-1] [INFO] [1698537173.117072597] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698537173.150137108] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698537173.159594540] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698537173.298604893] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698537173.338463715] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698537173.346591086] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698537173.394338269] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698537173.422980578] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698537173.428992852] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698537173.463488429] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698537173.476502024] [environment]: Starting Environment server
trials-all-1  | [robot-6] [INFO] [1698537173.515493806] [robot]: Robot server started
trials-all-1  | [environment-3] [INFO] [1698537173.517417894] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698537173.521197066] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698537173.605998942] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698537173.708375621] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698537173.747561412] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698537173.773722608] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698537174.385950547] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537175.398401664] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537176.414040814] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537177.426601712] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537178.437306413] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537179.451544162] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698537180.465342779] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537181.477468209] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537182.490436567] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698537182.895871697] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698537182.914913549] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698537183.501020706] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537184.521538176] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537185.123696962] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698537185.292723466] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698537185.306330070] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698537185.322307779] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698537185.326140949] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698537185.348281932] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698537185.362308555] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698537185.370868935] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698537185.391527852] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698537185.411931758] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698537185.421376177] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698537185.439902000] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537185.448639388] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698537185.468533271] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537185.476369619] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698537185.484192966] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698537185.504871884] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537185.512500223] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698537185.519678541] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537185.540094448] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698537185.555366126] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698537185.561633404] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537185.582070311] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698537185.587887570] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537185.602590222] [coordinator]: a_authenticate_nurse,robot1,nurse1
