 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-24-57-743216-863159eb9f07-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698531901.716264670] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698531901.770109461] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698531901.783145894] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698531901.878683072] [environment]: Starting Environment server
trials-all-1  | [robot-6] [INFO] [1698531901.907069016] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698531901.922319523] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698531901.957081679] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698531901.965766968] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698531902.026001969] [arm]: Starting Arm server
trials-all-1  | [coordinator-2] [INFO] [1698531902.028440049] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698531902.061305139] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698531902.074887589] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698531902.108943718] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698531902.124766243] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698531902.149172052] [nurse]: Nurse clients started
trials-all-1  | [arm-1] [INFO] [1698531902.167746667] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698531902.172114812] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698531902.267230965] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698531903.162397624] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531904.175610089] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531905.189599472] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531906.200964663] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531907.212773761] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531908.226169804] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698531909.237309668] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531910.250125480] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531911.262649177] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698531911.502326899] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698531911.517749396] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698531912.278409873] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531913.302947743] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531913.651322895] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698531913.686798030] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698531913.692044198] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531913.701074487] [coordinator]: Planing
