 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-15-57-484825-47b81f4a8266-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698531361.627521208] [nurse]: Starting Nurse server
trials-all-1  | [robot-6] [INFO] [1698531361.628207218] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698531361.694477153] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698531361.702264263] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698531361.702382265] [nurse]: Nurse server started
trials-all-1  | [environment-3] [INFO] [1698531361.727889625] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698531361.725723594] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698531361.737156755] [arm]: Starting Arm server
trials-all-1  | [coordinator-2] [INFO] [1698531361.770715229] [coordinator]: Starting Coordinator server
trials-all-1  | [environment-3] [INFO] [1698531361.791057516] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698531361.805251716] [arm]: Arm server started
trials-all-1  | [coordinator-2] [INFO] [1698531361.806012727] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698531361.813622835] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698531361.814553848] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698531361.851684372] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698531362.043206072] [nurse]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698531362.051166184] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698531362.063198353] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698531362.840364264] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531363.854187436] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531364.871109576] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531365.886954625] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531366.901996589] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531367.913139424] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698531368.925614203] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531369.936918892] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531370.948876516] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698531371.585922047] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698531371.602209265] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698531371.961620076] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531372.976092586] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531373.609534976] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698531373.645515453] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698531373.665668720] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531373.679027897] [coordinator]: Planing
