 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-50-39-806488-9f7d31ec3450-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698537043.322046724] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698537043.376562279] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698537043.385805373] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698537043.809341678] [nurse]: Starting Nurse server
trials-all-1  | [robot-6] [INFO] [1698537043.840206992] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698537043.850950101] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698537043.871116306] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698537043.872368319] [environment]: Starting Environment server
trials-all-1  | [robot-6] [INFO] [1698537043.890670505] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698537043.901152612] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698537043.930939915] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698537043.960047210] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698537043.969908311] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698537043.986294477] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698537044.042686049] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698537044.067491300] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698537044.077117397] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698537044.414621814] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698537045.113935889] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537045.437145148] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698537046.130909136] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537046.465375494] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698537046.650474352] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698537047.493686796] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537048.514979983] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537049.539168155] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698537050.559612246] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537051.573900232] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537052.585746152] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698537053.275617891] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698537053.319314316] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698537053.407830179] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698537053.437840471] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698537053.441906511] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698537053.455740646] [coordinator]: Planing
