 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-53-44-862308-6009a5b08e9f-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [51]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [53]
trials-all-1  | [INFO] [environment-3]: process started with pid [55]
trials-all-1  | [INFO] [nurse-4]: process started with pid [57]
trials-all-1  | [INFO] [planner-5]: process started with pid [59]
trials-all-1  | [INFO] [robot-6]: process started with pid [61]
trials-all-1  | [nurse-4] [INFO] [1698533628.862852822] [nurse]: Starting Nurse server
trials-all-1  | [robot-6] [INFO] [1698533628.877347367] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698533628.904376518] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698533628.915516168] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698533628.926372827] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698533628.935525539] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698533628.961880711] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698533629.006138321] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698533629.010985168] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698533629.071567267] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698533629.095542514] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698533629.135432262] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698533629.159156518] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698533629.169233201] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698533629.198299289] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698533629.239150007] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698533629.263670237] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698533629.271923978] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698533630.037939934] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533631.055875010] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533632.069106261] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533633.083152513] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533634.099134732] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533635.114071011] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698533636.124490458] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533637.136683876] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533638.149440304] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698533638.731564169] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698533638.745825725] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698533639.160334816] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533640.173148295] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533641.001355538] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698533641.115452992] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698533641.120974821] [coordinator]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698533641.131497494] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698533641.134753392] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698533641.139124257] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698533641.159680618] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698533641.174723150] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698533641.190055674] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698533641.194665531] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698533641.210751031] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698533641.215184893] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533641.230384421] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698533641.234585290] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533641.238647164] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698533641.261433456] [planner]: a_approach_arm,robot1,arm1
