 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-15-50-229820-f5f65865cf80-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698538554.157245391] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698538554.196985165] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698538554.306714541] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698538554.346341316] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698538554.353351276] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698538554.402337997] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698538554.416872915] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698538554.445788750] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698538554.446341747] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698538554.450910721] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698538554.510366383] [robot]: Robot server started
trials-all-1  | [arm-1] [INFO] [1698538554.512614370] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698538554.537206231] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698538554.539163219] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698538554.576396008] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698538554.608005828] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698538554.628898709] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698538554.638021657] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698538555.378827444] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538556.394707662] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538557.407664893] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538558.420838119] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538559.435901330] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538560.449017548] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698538561.460504771] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538562.472881984] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538563.485946190] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698538564.490354441] [planner]: Starting Planner server
trials-all-1  | [coordinator-2] [INFO] [1698538564.497916398] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698538564.512607314] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698538565.508602609] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698538566.099625223] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698538566.125067077] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698538566.138454000] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698538566.145632959] [coordinator]: Sending response
