 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-51-16-743351-008120750a07-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698537080.666078496] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698537080.735184838] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698537080.739796061] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698537080.790072492] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698537080.847314260] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698537080.865308130] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698537080.868783298] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698537080.907404166] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698537080.908942240] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698537080.914025486] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698537080.939486718] [environment]: Starting Environment server
trials-all-1  | [arm-1] [INFO] [1698537080.958238624] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698537080.969057148] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698537080.993885348] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698537080.994222365] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698537081.045097820] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698537081.227316611] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698537081.252632832] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698537081.910489569] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537082.930048648] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537083.949802615] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537084.968862429] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537085.980192753] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537086.994738112] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698537088.006102201] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537089.018444217] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537090.030667110] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698537090.839480288] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698537090.870870770] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698537091.133710162] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698537091.173144019] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698537091.182652467] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698537091.199186245] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698537091.204165480] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698537091.199344253] [nurse]: Request response:Okay!
