 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-48-26-691757-400a4af7f733-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698536910.257431170] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698536910.339595781] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698536910.476618801] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698536910.512102065] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698536910.525843167] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698536910.604153750] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698536910.633850971] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698536910.644667051] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698536910.657703148] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698536910.701408473] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698536910.707274517] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698536910.966981449] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698536911.007099748] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698536911.015244808] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698536911.057825123] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698536911.095047399] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698536911.112556528] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698536911.198113162] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698536911.744974210] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536912.763194719] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536913.781778192] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536914.797314603] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536915.811902969] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536916.830199323] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698536917.847399630] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536918.863939893] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536919.880546119] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698536920.494281460] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698536920.514486603] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698536920.899933326] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536921.921302508] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536922.527470749] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698536922.581078123] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698536922.594884220] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698536922.607303307] [coordinator]: Planing
